Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Schedule,"Runway ID",Length,Width,"Surface Type Condition","Edge Light Intensity","WBC Single","WBC Dual","WBC Two Dual","WBC Tandem Two Dual","Base Marking Condition"
RFD,042-11-43.3000N,089-05-50.0000W,ALL/ALL/ALL,01/19,8200,150,ASPH-CONC-G,HIGH,100,210,390,850,G
RFD,042-11-43.3000N,089-05-50.0000W,ALL/ALL/ALL,07/25,10002,150,ASPH-CONC-G,HIGH,100,190,360,850,G
DPA,041-54-25.3900N,088-14-52.7800W,ALL/ALL/ALL,02L/20R,7571,150,CONC-G,HIGH,30,45,,,G
DPA,041-54-25.3900N,088-14-52.7800W,ALL/ALL/ALL,10/28,4750,75,ASPH-G,HIGH,30,45,,,G
DPA,041-54-25.3900N,088-14-52.7800W,ALL/ALL/ALL,15/33,3399,100,ASPH-G,MED,30,45,100,,G
DPA,041-54-25.3900N,088-14-52.7800W,ALL/ALL/ALL,02R/20L,6451,100,CONC-G,MED,30,45,,,G
PIA,040-39-51.1000N,089-41-35.7000W,ALL/ALL/ALL,04/22,8004,150,ASPH-F,HIGH,100,175,300,,F
PIA,040-39-51.1000N,089-41-35.7000W,ALL/ALL/ALL,13/31,10104,150,CONC-G,HIGH,100,175,310,,G
MLI,041-26-53.5500N,090-30-27.9700W,ALL/ALL/ALL,13/31,7301,150,ASPH-CONC-G,HIGH,60,140,200,,G
MLI,041-26-53.5500N,090-30-27.9700W,ALL/ALL/ALL,09/27,10002,150,CONC-G,HIGH,100,173,353,,G
MLI,041-26-53.5500N,090-30-27.9700W,ALL/ALL/ALL,05/23,3515,150,CONC-G,MED,60,75,120,,F
CPS,038-34-13.3000N,090-09-18.3000W,ALL/ALL/ALL,12R/30L,7002,150,ASPH-E,HIGH,65,95,175,,G
CPS,038-34-13.3000N,090-09-18.3000W,ALL/ALL/ALL,12L/30R,5301,75,CONC-F,MED,30,30,,,F
CPS,038-34-13.3000N,090-09-18.3000W,ALL/ALL/ALL,05/23,2799,75,ASPH-F,MED,12,,,,F
UGN,042-25-19.7300N,087-52-04.5000W,ALL/ALL/ALL,14/32,3750,75,ASPH-G,MED,16,23,,,G
UGN,042-25-19.7300N,087-52-04.5000W,ALL/ALL/ALL,05/23,6001,150,ASPH-G,HIGH,95,120,200,,G
BAK,039-15-42.8900N,085-53-46.8200W,ALL/ALL/0600-2000,14/32,5000,100,CONC-E,MED,120,171,290,735,G
BAK,039-15-42.8900N,085-53-46.8200W,ALL/ALL/0600-2000,05/23,6401,150,CONC-E,HIGH,75,130,200,,G
EVV,038-02-26.9000N,087-31-42.6000W,ALL/ALL/ALL,18/36,6286,150,ASPH-G,HIGH,100,175,300,,G
EVV,038-02-26.9000N,087-31-42.6000W,ALL/ALL/ALL,09/27,3497,75,ASPH-G,MED,30,40,60,,G
EVV,038-02-26.9000N,087-31-42.6000W,ALL/ALL/ALL,04/22,8021,150,ASPH-G,HIGH,100,175,300,,G
GYY,041-37-02.1000N,087-24-52.3000W,ALL/ALL/ALL,12/30,8859,150,CONC-G,HIGH,75,157,175,250,G
GYY,041-37-02.1000N,087-24-52.3000W,ALL/ALL/ALL,02/20,3604,100,ASPH-F,MED,18,28,,,F
IND,039-43-02.3000N,086-17-40.7000W,ALL/ALL/ALL,14/32,7278,150,ASPH-G,HIGH,145,300,550,,G
IND,039-43-02.3000N,086-17-40.7000W,ALL/ALL/ALL,05R/23L,10000,150,CONC-G,HIGH,145,300,550,,G
IND,039-43-02.3000N,086-17-40.7000W,ALL/ALL/ALL,05L/23R,11200,150,CONC-G,HIGH,145,300,550,,G
HFY,039-37-39.4000N,086-05-16.9000W,ALL/SUN/0800-1700,01/19,5102,75,ASPH-E,MED,,,,,G
HFY,039-37-39.4000N,086-05-16.9000W,ALL/MON-SAT/0700-1900,01/19,5102,75,ASPH-E,MED,,,,,G
LAF,040-24-44.3000N,086-56-12.8000W,ALL/ALL/0600-2200,05/23,4225,100,ASPH-G,MED,48,58,90,,F
LAF,040-24-44.3000N,086-56-12.8000W,ALL/ALL/0600-2200,10/28,6600,150,ASPH-G,HIGH,90,110,165,,F
RID,039-45-21.9000N,084-50-33.7000W,ALL/ALL/0800-1745,06/24,5502,150,ASPH-E,MED,30,40,60,,G
RID,039-45-21.9000N,084-50-33.7000W,ALL/ALL/0800-1745,15/33,4999,100,ASPH-F,MED,30,40,60,,G
AAO,037-44-51.2700N,097-13-16.0200W,ALL/ALL/ALL,18/36,6101,100,CONC-G,MED,40,62,,,G
GCK,037-55-39.1000N,100-43-27.9000W,ALL/ALL/0700-2100,12/30,5700,100,CONC-G,MED,48,60,,,G
GCK,037-55-39.1000N,100-43-27.9000W,ALL/ALL/0700-2100,17/35,7299,100,CONC-G,HIGH,76,91,125,,G
HUT,038-03-58.1600N,097-51-37.7600W,ALL/SAT-SUN/0800-1700,04/22,4405,100,ASPH-F,MED,42,52,76,,G
HUT,038-03-58.1600N,097-51-37.7600W,ALL/MON-FRI/0800-1800,04/22,4405,100,ASPH-F,MED,42,52,76,,G
HUT,038-03-58.1600N,097-51-37.7600W,ALL/SAT-SUN/0800-1700,13/31,7003,100,ASPH-E,HIGH,44,58,103,,F
HUT,038-03-58.1600N,097-51-37.7600W,ALL/MON-FRI/0800-1800,13/31,7003,100,ASPH-E,HIGH,44,58,103,,F
HUT,038-03-58.1600N,097-51-37.7600W,ALL/SAT-SUN/0800-1700,17/35,4012,75,CONC-E,MED,43,58,76,,G
HUT,038-03-58.1600N,097-51-37.7600W,ALL/MON-FRI/0800-1800,17/35,4012,75,CONC-E,MED,43,58,76,,G
LBL,037-02-38.1200N,100-57-35.8900W,ALL/SAT-SUN/0700-2000,04/22,5000,75,CONC-E,MED,30,60,,,G
