Dep_Airport_ID,Schedules,Facility_Type,Wind_Indicator
6S0,"ALL/SAT-SUN/ON CALL",AIRPORT,Y-L
BIL,ALL/ALL/ALL,AIRPORT,Y-L
BZN,ALL/ALL/0500-0100,AIRPORT,Y-L
8S0,UNATNDD,AIRPORT,Y
BTM,ALL/ALL/DAWN-DUSK,AIRPORT,Y-L
LTY,MAR-NOV/MON-FRI/0800-1700,AIRPORT,Y-L
LTY,DEC-FEB/IREG/,AIRPORT,Y-L
6S3,ALL/MON-FRI/0800-1700,AIRPORT,Y
CTB,ALL/ALL/0830-1730,AIRPORT,Y-L
38S,UNATNDD,AIRPORT,Y-L
DLN,ALL/ALL/0800-1700,AIRPORT,Y-L
GTF,ALL/ALL/ALL,AIRPORT,Y
HRF,ALL/ALL/0800-1700,AIRPORT,Y-L
HLN,ALL/ALL/0500-0100,AIRPORT,Y-L
GPI,ALL/ALL/ALL,AIRPORT,Y-L
LWT,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
MLS,ALL/ALL/DALGT,AIRPORT,Y-L
MSO,ALL/ALL/ALL,AIRPORT,Y-L
8S1,ALL/ALL/0800-1700,AIRPORT,Y-L
7S0,UNATNDD,AIRPORT,Y-L
SDY,ALL/ALL/0600-1900,AIRPORT,Y-L
32S,UNATNDD,AIRPORT,Y-L
RVF,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
WYS,MAY-OCT/ALL/0800-1700,AIRPORT,Y-L
FET,ALL/ALL/0700-2000,AIRPORT,Y-L
EAR,ALL/ALL/0600-2000,AIRPORT,Y-L
LNK,ALL/ALL/ALL,AIRPORT,Y-L
LBF,ALL/ALL/0600-2300,AIRPORT,Y-L
OMA,ALL/ALL/ALL,AIRPORT,Y-L
BFF,ALL/ALL/0600-2100,AIRPORT,Y-L
SNY,ALL/ALL/0700-1800,AIRPORT,Y
BAM,JUN-SEP/ALL/0700-1800,AIRPORT,Y-L
BAM,OCT-MAY/ALL/0700-1700,AIRPORT,Y-L
BVU,ALL/ALL/0800-1700,AIRPORT,Y-L
CXP,ALL/ALL/0600-2000,AIRPORT,Y-L
EKO,ALL/ALL/0500-1900,AIRPORT,Y-L
ELY,ALL/MON-SAT/0800-1700,AIRPORT,Y-L
INS,ALL,AIRPORT,Y
VGT,ALL/ALL/0600-2230,AIRPORT,Y-L
HND,ALL/ALL/0500-2200,AIRPORT,Y-L
LAS,ALL/ALL/ALL,AIRPORT,Y-L
LOL,UNATNDD,AIRPORT,Y
MEV,ALL/ALL/0800-1700,AIRPORT,Y-L
RNO,ALL/ALL/ALL,AIRPORT,Y-L
RTS,"ALL/MONDAY - FRIDAY/0700-1630",AIRPORT,Y-L
EEN,ALL/MON-FRI/0700-1900,AIRPORT,Y-L
EEN,ALL/SAT-SUN/0700-1700,AIRPORT,Y-L
ACY,ALL/ALL/ALL,AIRPORT,Y-L
MMU,ALL/ALL/0645-2230,AIRPORT,Y-L
WWD,ALL/ALL/0800-1700,AIRPORT,Y-L
ALM,ALL/ALL/0700-1700,AIRPORT,Y-L
AEG,ALL/ALL/0600-1900,AIRPORT,Y-L
ABQ,ALL/ALL/ALL,AIRPORT,Y-L
BRG,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
CVN,ALL/ALL/0700-1700,AIRPORT,Y-L
DMN,ALL/ALL/0700-1800,AIRPORT,Y-L
FMN,ALL/ALL/0600-2200,AIRPORT,Y-L
LVS,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
ROW,ALL/ALL/0600-2100,AIRPORT,Y-L
SAF,ALL/ALL/0600-2200,AIRPORT,Y-L
SVC,ALL/ALL/0600-1700,AIRPORT,Y-L
SKX,ALL/ALL/0800-1800,AIRPORT,Y-L
ITH,ALL/ALL/0500-0000,AIRPORT,Y-L
PEO,ALL/SAT/0900-1500,AIRPORT,Y
PEO,ALL/SUN/0900-1500,AIRPORT,Y
PEO,ALL/MON-FRI/0800-1700,AIRPORT,Y
POU,ALL/ALL/0700-2130,AIRPORT,Y-L
AVL,ALL/ALL/ALL,AIRPORT,Y-L
JQF,ALL/ALL/ALL,AIRPORT,Y-L
GSO,ALL/ALL/ALL,AIRPORT,Y-L
MQI,ALL/ALL/0800-1900,AIRPORT,Y-L
EQY,ALL/ALL/0700-1900,AIRPORT,Y-L
14A,"ALL/SAT - SUN/1000-1600",AIRPORT,Y
14A,"ALL/MON - FRI/0800-1700",AIRPORT,Y
SOP,ALL/ALL/0800-2000,AIRPORT,Y-L
SVH,ALL/SAT-SUN/0800-2100,AIRPORT,Y-L
SVH,ALL/MON-FRI/0600-2100,AIRPORT,Y-L
BIS,ALL/ALL/ALL,AIRPORT,Y-L
DIK,ALL/ALL/0700-1600,AIRPORT,Y-L
FAR,ALL/ALL/ALL,AIRPORT,Y-L
JMS,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
S25,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
XWA,ALL/ALL/0700-1900,AIRPORT,Y-L
UNI,ALL/ALL/ALL,AIRPORT,Y-L
