Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Facility_Type,Wind_Indicator,Runway_ID,Num_of_Runways,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
APC,038-12-47.4800N,122-16-50.4700W,AIRPORT,Y-L,06/24,3,5008,150,CONC-F,MED,60,76,120,,G
EED,034-45-58.8500N,114-37-23.8100W,AIRPORT,Y-L,11/29,2,5005,100,ASPH-P,MED,16,32,,,F
EED,034-45-58.8500N,114-37-23.8100W,AIRPORT,Y-L,02/20,2,4235,100,ASPH-F,MED,16,32,,,F
OAK,037-43-16.5400N,122-13-16.1400W,AIRPORT,Y-L,10R/28L,4,6213,150,ASPH-G,HIGH,75,210,500,900,G
OAK,037-43-16.5400N,122-13-16.1400W,AIRPORT,Y-L,12/30,4,10520,150,ASPH-G,HIGH,75,210,500,900,G
OAK,037-43-16.5400N,122-13-16.1400W,AIRPORT,Y-L,15/33,4,3376,75,ASPH-G,MED,12,65,100,,G
OAK,037-43-16.5400N,122-13-16.1400W,AIRPORT,Y-L,10L/28R,4,5457,150,ASPH-G,HIGH,75,210,500,900,G
ONT,034-03-21.6500N,117-36-04.2800W,AIRPORT,Y-L,08R/26L,2,10200,150,CONC-G,HIGH,30,200,560,850,G
ONT,034-03-21.6500N,117-36-04.2800W,AIRPORT,Y-L,08L/26R,2,12197,150,CONC-G,HIGH,30,200,560,850,G
OXR,034-12-02.9000N,119-12-26.0200W,AIRPORT,Y-L,07/25,1,5953,100,ASPH-F,MED,91,126,174,117,F
TRM,033-37-36.0100N,116-09-34.7600W,AIRPORT,Y-L,17/35,2,8500,150,ASPH-G,MED,75,200,325,850,F
TRM,033-37-36.0100N,116-09-34.7600W,AIRPORT,Y-L,12/30,2,4995,100,ASPH-G,MED,20,60,,,G
PSP,033-49-46.8000N,116-30-24.1000W,AIRPORT,Y-L,13L/31R,2,4952,75,ASPH-G,MED,12,60,,,G
PSP,033-49-46.8000N,116-30-24.1000W,AIRPORT,Y-L,13R/31L,2,10000,150,ASPH-G,HIGH,105,200,330,800,G
PRB,035-40-22.4000N,120-37-37.5000W,AIRPORT,Y-L,01/19,3,6008,150,ASPH-G,HIGH,60,106,150,,G
PRB,035-40-22.4000N,120-37-37.5000W,AIRPORT,Y-L,13/31,3,4701,100,ASPH-G,MED,30,50,90,,G
PVF,038-43-27.2200N,120-45-11.9100W,AIRPORT,Y-L,05/23,2,3914,76,ASPH-G,MED,26,,,,F
PTV,036-01-46.5000N,119-03-45.8000W,AIRPORT,Y-L,12/30,1,5960,150,ASPH-G,HIGH,30,70,110,,F
RBL,040-09-01.1000N,122-15-07.9000W,AIRPORT,Y-L,15/33,1,5431,100,ASPH-E,MED,30,65,,,G
RDD,040-30-32.3000N,122-17-36.2000W,AIRPORT,Y-L,16/34,2,7003,150,ASPH-G,HIGH,98,128,195,,G
RDD,040-30-32.3000N,122-17-36.2000W,AIRPORT,Y-L,12/30,2,5067,150,ASPH-G,MED,60,72,110,,G
O32,036-40-15.6000N,119-27-03.7000W,AIRPORT,Y-L,16/34,1,3300,60,ASPH-E,MED,12,,,,G
SMF,038-41-43.6000N,121-35-26.8000W,AIRPORT,Y-L,17L/35R,2,8605,150,CONC-G,HIGH,120,239,439,961,G
SMF,038-41-43.6000N,121-35-26.8000W,AIRPORT,Y-L,17R/35L,2,8598,150,CONC-G,HIGH,120,239,439,961,G
MHR,038-33-19.1200N,121-17-49.9600W,AIRPORT,Y-L,04L/22R,4,6081,150,ASPH-G,MED,90,105,190,,G
MHR,038-33-19.1200N,121-17-49.9600W,AIRPORT,Y-L,04R/22L,4,11301,150,ASPH-CONC-G,HIGH,160,280,500,,G
SAC,038-30-46.3000N,121-29-35.8800W,AIRPORT,Y-L,12/30,3,3837,100,ASPH-G,MED,30,43,67,,G
