Dep_Airport_ID,Schedules,Runway_ID,Num_of_Runways,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
GNB,UNATNDD,09/27,1,5001,75,ASPH-F,LOW,15,15,,,P
GJT,ALL/ALL/0530-0000L,11/29,2,10503,150,ASPH-E,HIGH,110,180,260,,F
GJT,ALL/ALL/0530-0000L,04/22,2,5501,75,ASPH-G,MED,26,26,,,F
HDN,ALL/ALL/0600-2000,10/28,1,10000,150,ASPH-G,HIGH,75,170,260,,G
MVI,ALL/SAT-SUN/ON-CALL,02/20,3,5902,60,ASPH-F,MED,12,,,,F
MVI,ALL/MON-FRI/0800-1700,02/20,3,5902,60,ASPH-F,MED,12,,,,F
MTJ,DEC16-MAR31/ALL/0500-2100,17/35,2,10000,150,ASPH-G,HIGH,75,190,265,,G
MTJ,APR1-DEC15/ALL/0530-2100,17/35,2,10000,150,ASPH-G,HIGH,75,190,265,,G
MTJ,DEC16-MAR31/ALL/0500-2100,13/31,2,7510,100,ASPH-G,HIGH,65,90,150,,G
MTJ,APR1-DEC15/ALL/0530-2100,13/31,2,7510,100,ASPH-G,HIGH,65,90,150,,G
PUB,ALL/ALL/0500-2200,08L/26R,3,4690,75,ASPH-G,MED,20,,,,G
PUB,ALL/ALL/0500-2200,17/35,3,8310,150,ASPH-G,MED,93,110,170,,G
PUB,ALL/ALL/0500-2200,08R/26L,3,10498,150,ASPH-G,HIGH,75,170,250,,G
RIL,ALL/ALL/ALL,08/26,1,7000,100,ASPH-G,HIGH,90,200,250,,G
SBS,NOV-APR/ALL/0700-1700,14/32,1,4452,100,ASPH-G,HIGH,50,60,,,F
SBS,MAY-OCT/ALL/0700-1700,14/32,1,4452,100,ASPH-G,HIGH,50,60,,,F
BDR,ALL/ALL/0600-2400,11/29,2,4759,150,ASPH-F,HIGH,30,108,,,F
BDR,ALL/ALL/0600-2400,06/24,2,4677,100,ASPH-E,HIGH,57,80,,,G
GON,"ALL/ALL/0600- 2100",05/23,2,5000,150,ASPH-G,HIGH,90,113,200,,G
GON,"ALL/ALL/0600- 2100",15/33,2,4000,96,ASPH-G,HIGH,90,113,,,G
BDL,ALL/ALL/ALL,15/33,2,6847,150,ASPH-E,HIGH,200,200,350,,G
BDL,ALL/ALL/ALL,06/24,2,9510,200,ASPH-E,HIGH,200,200,350,710,G
IAD,ALL/ALL/ALL,01R/19L,4,11500,150,CONC-G,HIGH,200,250,450,875,G
IAD,ALL/ALL/ALL,01C/19C,4,11500,150,CONC-E,HIGH,200,250,450,875,G
IAD,ALL/ALL/ALL,12/30,4,10501,150,CONC-G,HIGH,200,250,450,875,G
IAD,ALL/ALL/ALL,01L/19R,4,9400,150,CONC-E,HIGH,200,250,450,875,G
