Loc Id,Facility Type,Runway Id,Length,Width,Surface Type Condition,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Schedule
YKN,AIRPORT,17/35,4400,75,ASPH-CONC-G,30.0,0.0,0.0,0.0,UNATNDD
HON,AIRPORT,18/36,3000,60,ASPH-G,4.0,0.0,0.0,0.0,ALL/M-F/0700-2000
FSD,AIRPORT,03/21,1800,60,TURF,0.0,0.0,0.0,0.0,UNATNDD
PIR,AIRPORT,01/19,3010,60,ASPH-G,4.0,0.0,0.0,0.0,UNATNDD
RAP,AIRPORT,01/19,2000,50,TURF-F,0.0,0.0,0.0,0.0,UNATNDD
HZD,AIRPORT,18/36,5001,100,CONC-G,0.0,0.0,0.0,0.0,ALL/ALL/ALL
RZR,AIRPORT,H1,25,25,GRAVEL-F,0.0,0.0,0.0,0.0,UNATTND
M02,AIRPORT,H1,50,50,ASPH,0.0,0.0,0.0,0.0,UNATNDD
M29,AIRPORT,E/W,1970,75,TURF,0.0,0.0,0.0,0.0,UNATNDD
PHT,AIRPORT,H1,50,50,CONC,0.0,0.0,0.0,0.0,ALL/ALL/ALL
JWN,AIRPORT,H1,80,80,TURF,0.0,0.0,0.0,0.0,ALL/ALL/DALGT
DKX,AIRPORT,H1,50,48,CONC,0.0,0.0,0.0,0.0,ALL/ALL/ALL
M54,AIRPORT,17/35,3100,60,ASPH-G,12.0,0.0,0.0,0.0,UNATNDD
CHA,AIRPORT,01R/19L,4208,100,ASPH-G,30.0,60.0,0.0,0.0,UNATNDD
TYS,AIRPORT,17/35,2580,40,ASPH-P,0.0,0.0,0.0,0.0,UNATNDD
MKL,AIRPORT,17/35,3000,100,TURF,0.0,0.0,0.0,0.0,UNATNDD
