tail_number,date,aircraft,origin,origin_location,destination,destination_location,departure,arrival,duration
N548LM,01-Aug-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",02:28PM AKDT,03:25PM AKDT,0:57
N548LM,31-Jul-2022,LJ31,Elmendorf Afb (EDF / PAED),"Elmendorf Afb (Anchorage, AK) - EDF / PAED",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",06:44PM AKDT,06:49PM AKDT,0:05
N548LM,28-Jul-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Elmendorf Afb (EDF / PAED),"Elmendorf Afb (Anchorage, AK) - EDF / PAED",01:19PM AKDT,01:38PM AKDT,0:19
N548LM,28-Jul-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",12:32AM AKDT,01:23AM AKDT,0:51
N548LM,27-Jul-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",09:24PM AKDT,10:23PM AKDT,0:58
N548LM,26-Jul-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",11:02PM AKDT,11:54PM AKDT,0:51
N548LM,26-Jul-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",09:17PM AKDT,10:20PM AKDT,1:02
N548LM,26-Jul-2022,LJ31,Wiley Post-Will Rogers (BRW / PABR),"Wiley Post-Will Rogers (Utqiagvik, AK) - BRW / PABR",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:07PM AKDT,06:45PM AKDT,1:38
N548LM,26-Jul-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Wiley Post-Will Rogers (BRW / PABR),"Wiley Post-Will Rogers (Utqiagvik, AK) - BRW / PABR",02:24PM AKDT,04:07PM AKDT,1:42
N548LM,21-Jul-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",12:58PM AKDT,01:42PM AKDT,0:44
