Site Id,Loc Id,ICAO Id,State Id,Sequence,Schedule
00729.16*H,AZ92,,AZ,1,ALL/ALL/ALL
00729.19*H,AZ39,,AZ,1,ALL/MON-FRI/0600-1630
00729.21*H,08AZ,,AZ,1,UNATNDD
00729.22*H,69AZ,,AZ,1,ALL/ALL/ALL
00729.*A,FFZ,KFFZ,AZ,1,ALL/ALL/ALL
00732.05*A,5AZ6,,AZ,1,UNATNDD
00732.1*A,1AZ0,,AZ,1,ALL/MON-FRI/0700-1700
00732.*A,0AZ4,,AZ,1,ALL/ALL/DALGT
00734.23*A,45AZ,,AZ,1,IREG
00735.41*A,12AZ,,AZ,1,UNATNDD
00735.42*A,AZ32,,AZ,1,UNATNDD
00735.43*A,AZ28,,AZ,1,UNATNDD
00735.4*A,0AZ5,,AZ,1,IREG
00739.*A,OLS,KOLS,AZ,1,ALL/ALL/0700-1900
00741.9*A,AZ82,,AZ,1,UNATNDD
00742.11*A,44AZ,,AZ,1,UNATNDD
00742.2*A,PGA,KPGA,AZ,1,ALL/ALL/DALGT
00742.6*A,29AZ,,AZ,1,UNATNDD
00742.7*A,AZ26,,AZ,1,UNATNDD
00745.01*H,AZ47,,AZ,1,ALL/ALL/ALL
00745.*A,P20,,AZ,1,ALL/ALL/0800-1700
00746.*A,AZ57,,AZ,1,UNATNDD
00747.1*A,PAN,KPAN,AZ,1,ALL/MON-FRI/0700-1600
00747.1*A,PAN,KPAN,AZ,2,ALL/SAT-SUN/0700-1200
00749.01*H,AZ12,,AZ,1,UNATNDD
00749.02*A,L37,,AZ,1,ALL/ALL/DALGT
00749.03*A,3AZ5,,AZ,1,UNATNDD
00749.04*H,AZ36,,AZ,1,UNATNDD
00749.05*H,AZ35,,AZ,1,UNATNDD
00749.61*A,7AZ4,,AZ,1,UNATNDD
00749.6*A,6AZ5,,AZ,1,UNATNDD
00749.*A,1G4,,AZ,2,ALL/ALL/DALGT
00751.13*H,4AZ5,,AZ,1,UNATNDD
