,Loc Id,Facility Type,Wind Indicator,ARP Latitude DD,ARP Longitude DD,Runway Id,Surface Type Condition,Edge Light Intensity,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Base Marking Condition,ICAO Id,#Runway Id
4048,9FD2,ULTRALIGHT,Y,28.13695889,-82.14647389,17/35,TURF,,,,,,,,1
4049,6FD5,AIRPORT,Y,27.77863889,-81.09978806,10/28,TURF-F,,,,,,,,1
4050,11FA,AIRPORT,Y,25.58371806,-80.49977917,18/36,TURF,,,,,,,,1
4051,34FD,AIRPORT,Y,28.85721167,-80.90699889,17/35,TURF,,,,,,,,1
4052,38FA,AIRPORT,Y,30.48354611,-83.24986528,18/36,TURF,,,,,,,,1
4053,34FL,AIRPORT,Y,29.58085694,-81.59168722,01/19,TURF,,,,,,,,1
4054,FL88,AIRPORT,N,26.68367944,-81.44979861,E/W,TURF,,,,,,,,1
4055,CEW,AIRPORT,Y-L,30.77883111,-86.52211278,17/35,ASPH-F,HIGH,60,120,170,,G,KCEW,1
4056,X61,AIRPORT,Y,28.73527222,-81.62911667,09/27,TURF-G,,,,,,,,1
4057,5FD6,HELIPORT,,26.74229194,-82.25870556,H1,CONC,,,,,,,,1
4058,BCT,AIRPORT,Y-L,26.37848556,-80.10769639,05/23,ASPH-G,MED,66,95,,,F,KBCT,1
4059,5FD8,HELIPORT,,26.67056944,-82.13457778,H1,TURF,,,,,,,,1
4060,4FD9,HELIPORT,,26.46267222,-82.15504444,H1,TURF,,,,,,,,1
4061,FD31,AIRPORT,Y,29.92801306,-82.70123222,18/36,TURF,,,,,,,,1
4062,FL62,AIRPORT,Y,28.94859806,-81.41312222,09/27,TURF,,,,,,,,1
4063,2FL4,HELIPORT,,26.85583333,-80.07472222,H1,TURF,,,,,,,,1
4064,80FD,AIRPORT,,27.11338361,-80.63338944,14/32,ASPH,,,,,,,,1
4065,3FL6,HELIPORT,,28.43782778,-82.53897778,H1,ASPH-CONC,,,,,,,,1
4066,0FD5,AIRPORT,,30.82018333,-86.34439167,09/27,TURF,,,,,,,,1
4067,60FA,HELIPORT,Y-L,27.08305556,-81.08305556,H1,CONC,,,,,,,,1
4068,0FA3,HELIPORT,Y,27.07583333,-81.07116667,H1,CONC,,,,,,,,1
4069,0FA5,SEAPLANE BASE,,28.57277778,-81.62861111,07W/25W,WATER,,,,,,,,1
4070,FL95,AIRPORT,Y,27.70864111,-80.45283,18/36,TURF,,,,,,,,1
4071,73FD,AIRPORT,,29.51079472,-82.86012028,18/36,TURF,,,,,,,,1
4072,BKV,AIRPORT,Y-L,28.47361111,-82.45541667,09/27,CONC-G,MED,90,130,230,,G,KBKV,2
4073,BKV,AIRPORT,Y-L,28.47361111,-82.45541667,03/21,CONC-G,MED,50,75,135,,G,KBKV,2
4074,2FL1,HELIPORT,Y-L,26.15971111,-80.325925,H1,ASPH,,,,,,,,1
4075,6FD8,HELIPORT,Y,26.10397556,-80.14143417,H1,CONC,,,,,,,,1
4076,X36,AIRPORT,Y,26.99008056,-82.37401778,12/30,TURF-F,,,,,,,,1
4077,56FL,AIRPORT,Y,30.87615278,-87.20810556,02/20,TURF,NSTD,,,,,,,1
4078,FL59,AIRPORT,Y,26.643405,-81.71035972,14/32,CONC,MED,,,,,,,2
4079,FL59,AIRPORT,Y,26.643405,-81.71035972,06/24,CONC,,,,,,,,2
4080,8FD1,AIRPORT,Y,30.09883833,-82.92762833,18/36,TURF,,,,,,,,1
4081,9FD9,AIRPORT,,30.12244861,-82.96790722,01/19,TURF,,,,,,,,1
4082,FL43,AIRPORT,,28.27381111,-81.93044722,15/33,TURF,,,,,,,,1
4083,5FL4,AIRPORT,Y,29.80080139,-81.50091278,09/27,TURF,,,,,,,,1
4084,F95,AIRPORT,Y-L,30.48703167,-85.11378583,18/36,ASPH-G,MED,,,,,F,,1
4085,FD60,HELIPORT,Y,30.58685833,-85.10380833,H1,CONC,,,,,,,,1
4086,29FA,SEAPLANE BASE,Y,26.635,-81.875,05W/23W,WATER,,,,,,,,1
4087,FL77,AIRPORT,,26.05453556,-81.06784778,14/32,TURF,,,,,,,,1
4088,2CB,AIRPORT,,29.96690722,-81.98315833,01/19,GRAVEL,LOW,,,,,,,2
4089,2CB,AIRPORT,,29.96690722,-81.98315833,07/25,GRAVEL,LOW,,,,,,,2
4090,15FL,AIRPORT,Y,30.15374278,-82.66640583,18/36,ASPH,,,,,,,,2
4091,15FL,AIRPORT,Y,30.15374278,-82.66640583,09/27,TURF,,,,,,,,2
4092,1FL8,HELIPORT,Y-L,28.36111111,-80.62222222,H1,CONC,PERI,,,,,,,1
4093,XMR,AIRPORT,Y,28.46758806,-80.56661417,13/31,ASPH,HIGH,,,,,G,KXMR,1
4094,FD66,HELIPORT,,26.63840611,-81.94147667,H1,CONC,,,,,,,,1
4095,84FL,HELIPORT,Y,25.92537167,-80.2997725,H1,TURF-F,,,,,,F,,1
4096,8FL7,HELIPORT,Y,29.68552167,-82.47594306,H1,TURF-G,,,,,,,,1
4097,FL38,HELIPORT,Y,27.98196444,-82.49148389,H2,CONC,,,,,,,,2
4098,FL38,HELIPORT,Y,27.98196444,-82.49148389,H1,CONC,,,,,,,,2
4099,X13,AIRPORT,Y-L,29.842,-84.70111111,05/23,ASPH-F,MED,12,,,,F,,1
4100,FL57,AIRPORT,N,28.61888833,-81.50868333,09/27,TURF,,,,,,,,1
4101,50FD,AIRPORT,Y,30.51824944,-85.19881083,05/23,TURF-F,,,,,,,,1
4102,VQQ,AIRPORT,Y-L,30.21877778,-81.87716667,09R/27L,ASPH-CONC-G,HIGH,,,,,F,KVQQ,6
